X,Y,Rate_per_100000,Walkability,PopulationFemale,NoHealthInsurance,X.Black
-84.495749,33.855709,523.7,1064.469444,6172.38,1475.13,3135.8
-82.888781,31.544218,289,50.388889,445.34,161.59,245.68
-83.799407,31.164793,505.6,60.638889,506.29,211.77,256.71
-82.100587,33.500958,182.6,141.305556,1033.52,167.35,331.44
-83.379136,31.162165,507.6,23.011111,208.14,72.54,104.57
-84.706379,33.351773,226.1,118.086111,1022.56,187.58,320.48
-83.885928,32.73161,245.3,12.222222,146.05,43.26,76.33
-83.760972,31.943146,702.5,36.027778,301.09,91.38,253.56
-85.526405,34.77678,143.6,21.416667,205.6,48.99,3.19
-84.011803,34.372599,155.9,18.402778,150.58,36.24,3.1
-84.531934,30.8702,635,34.763889,365.14,131.33,273.92
-84.342339,33.954081,1405.1,1588.747222,7444.42,2021.88,6968.25
-83.201024,32.369536,470.2,24.844444,288.17,69.6,160.83
-83.926369,32.174792,513.3,9.916667,88.36,29.46,100.11
-84.163387,31.576601,1063.4,213.872222,1427.84,456.25,1876.92
-84.752947,33.718008,479.8,130.361111,1050.12,253.04,891.94
-84.887736,31.32101,274,21.972222,269.79,82.41,250.34
-82.847414,30.703963,157.2,7,109.3,43.78,5.32
-81.410128,32.480361,147.5,48.333333,506.09,90.14,134.54
-82.747021,34.038976,234.9,24.111111,260.08,67.71,148.58
-82.308171,32.660535,350.8,31.305556,305.29,111.8,185.67
-81.913685,32.221401,473.5,16.666667,148.79,51.63,84.68
-84.518134,34.923219,142.6,27.6,252.53,69.23,1.01
-84.578961,33.379942,233.5,133.055556,1025.23,139.33,437.94
-85.205753,34.27644,284.3,121.652778,1039.3,277.12,308.09
-84.1908,34.098965,83.2,292.611111,2260.3,416.28,152.96
-83.129994,34.413083,228.6,26.333333,254.14,72.97,45.28
-84.383006,33.784167,1733.9,2381.019444,10403.28,2246.25,9549.52
-84.328785,34.688592,157.4,24.444444,250.15,93.28,3.22
-81.470496,31.219015,465.1,112.522222,799.02,212.42,403.42
-84.997522,34.422155,132,51,454.6,139.41,32.19
-84.248116,31.030772,325.6,31.958333,307.66,109.79,161.15
-83.103617,33.452047,170.4,36.052778,349.77,107.96,244.23
-84.108243,33.907024,400.2,998.169444,5756.47,2047.11,3110.46
-83.60718,34.604891,169.5,50,422.15,122.79,23.43
-83.834592,34.310988,176.5,223.897222,1811.84,604.21,256.59
-82.944092,33.312792,460.8,5.266667,97.18,20.16,133.35
-85.183668,33.753834,133,25.319444,256.8,61.94,21.91
-84.976577,32.710571,149.7,21.238889,251.31,36.47,85.63
-82.938157,34.42145,169.4,24.583333,250.63,62.06,86.71
-85.155916,33.37864,140.6,10.444444,152.38,36.33,25.9
-84.253385,33.626408,479.1,164.805556,1307.19,265.13,1128.09
-83.611163,32.610761,324,159.275,1175.57,283.46,802.69
-83.209672,31.575069,890.2,8.194444,93.6,40.65,38.94
-83.689517,34.159771,169.9,60.222222,552.87,134.01,73.12
-83.611245,33.418219,218.4,11.333333,154.03,41.18,47.64
-82.726911,31.750077,64.9,12.358333,154.4,51.18,47.05
-82.427778,33.020095,398.3,20.822222,208.46,61.81,198.87
-81.936004,32.849435,427.1,6.388889,106.19,32.95,73.34
-82.8144,32.723882,248.7,9.958333,129.32,39.54,87.51
-83.664909,32.945233,107.3,24.5,311.73,59.06,142.3
-84.214997,33.036095,328.3,17.061111,154.17,37.77,91.41
-83.006223,31.032657,217.2,7.333333,102.91,28.66,35.51
-82.924525,32.546187,486.9,75.319444,685.5,147.82,504.16
-84.212243,31.73337,244.8,24.527778,252.83,54.31,110.44
-81.413903,31.708937,502.9,75.611111,670.68,147.63,584.91
-82.387583,33.736501,231.6,8.152778,106.14,25.05,63.45
-81.819632,31.796653,120.5,6.555556,100.67,27.22,49.34
-83.290137,30.852914,642.9,164.25,1216.86,372.26,873.56
-83.937753,34.633149,101.3,22.611111,205.45,47.15,9.04
-82.550163,33.480617,337.7,28.536111,269.57,59.27,184.33
-81.25583,31.515317,447.8,14.444444,148.82,44.94,104.93
-83.955317,32.312112,409.9,18.166667,190.98,67.99,237.38
-83.309348,34.069827,167.5,28.638889,304.17,86.52,55.73
